,Complaint Type,count
285,Misc. Comments'.sleep(20).',1
286,Misc. Comments';declare @q ...,1
287,Misc. Comments'|echo y9v6fc...,1
288,Misc. Comments'|ping -c 21 ...,1
289,Misc. Comments'||(select ex...,1
290,Misc. Comments);declare @q ...,1
291,"Misc. Comments,(select*from...",1
292,Misc. Comments../../../../....,3
293,Misc. Comments..\..\..\..\....,2
294,Misc. Comments47876391' or ...,1
295,Misc. Comments52038737' or ...,1
296,Misc. Comments69075347' or ...,1
297,Misc. Comments88909845' or ...,1
298,Misc. Comments;declare @q v...,1
299,Misc. Comments]]&gt;&gt;&lt;,1
300,Misc. Commentseowljujfh8,1
301,Misc. Commentso0w3r%&gt;xb6...,1
302,Misc. Comments{${sleep(20)}},1
303,Misc. Comments|echo 3p7wexz...,1
304,Misc. Comments|nslookup -q=...,1
305,Misc. Comments|ping -c 21 1...,1
306,Misc. Comments|ping -n 21 1...,1
307,Misc. Comments}}t2v95'/&quo...,1
308,Miscellaneous Categories,15615
309,Missed Collection,61114
310,Missed Collection (All Materials),338542
311,Mobile Food Vendor,9837
312,Mold,3993
313,Mosquitoes,3892
314,Municipal Parking Facility,847
315,NONCONST,260890
316,NORC Complaint,20
317,New Tree Request,194700
318,No Child Left Behind,23
319,Noise,589237
320,Noise - Commercial,480910
321,Noise - Helicopter,61186
322,Noise - House of Worship,13393
323,Noise - Park,56544
324,Noise - Residential,2784668
325,Noise - Street/Sidewalk,947289
326,Noise - Vehicle,422734
327,Noise Survey,16303
328,Non-Emergency Police Matter,180861
329,Non-Residential Heat,14104
330,NonCompliance with Phased Reopening,66333
331,OEM Disabled Vehicle,1916
332,OEM Literature Request,8746
333,OUTSIDE BUILDING,8751
334,Obstruction,7829
335,Oil or Gas Spill,2
336,Open Flame Permit,1
337,Other Enforcement,60430
338,Outdoor Dining,10809
339,Outside Building,6
340,Overflowing Litter Baskets,11555
341,Overflowing Recycling Baskets,165
342,Overgrown Tree/Branches,188960
343,PAINT - PLASTER,361228
344,PAINT/PLASTER,433072
345,PLUMBING,809237
346,Panhandling,13237
347,Parent Leadership,64
348,Parking Card,383
349,Peeling Paint,126
350,Pet Shop,802
351,Plant,2696
352,Plumbing,57528
353,Poison Ivy,1730
354,Portable Toilet,13
355,Posting Advertisement,3298
356,Private School Vaccine Mandate Non-Compliance,218
357,Private or Charter School Reopening,2105
358,Public Assembly,11
359,Public Assembly - Temporary,1
360,Public Payphone Complaint,6483
361,Public Toilet,529
362,Quality of Life,1494
363,Question,2162
364,Radioactive Material,120
365,Rangehood,9
366,Real Time Enforcement,6737
367,Recycling Basket Complaint,45
368,Recycling Enforcement,8959
369,Registration and Transfers,190
370,Request Large Bulky Item Collection,326335
371,Request Xmas Tree Collection,1986
372,Research Questions,89
373,Residential Disposal Complaint,6467
374,Retailer Complaint,14
375,Rodent,361524
376,Root/Sewer/Sidewalk Condition,113179
377,SAFETY,68167
378,SCRIE,87627
379,SG-99,1
380,SNW,4
381,SRDE,21
382,SRGOVG,1
383,STRUCTURAL,16
384,Safety,1009
385,Sanitation Condition,306280
386,Sanitation Worker or Vehicle Complaint,2239
387,Scaffold Safety,2863
388,School Maintenance,20707
389,Seasonal Collection,330
390,Select Message Type...,5
391,Senior Center Complaint,3113
392,Sewer,431951
393,Sidewalk Condition,314492
394,Single Occupancy Bathroom,40
395,Smoking,28413
396,Snow,88068
397,Snow Removal,2806
398,Snow or Ice,5427
399,Special Enforcement,17
400,Special Natural Area District (SNAD),903
401,Special Operations,272
402,Special Projects Inspection Team (SPIT),45928
403,Sprinkler - Mechanical,3
404,Squeegee,214
405,Stalled Sites,758
406,Standing Water,25027
407,Standpipe - Mechanical,6
408,Storm,3005
409,Street Condition,1142306
410,Street Light Condition,1067838
411,Street Sign - Damaged,86644
412,Street Sign - Dangling,33572
413,Street Sign - Missing,61678
414,Street Sweeping Complaint,4931
415,Summer Camp,324
416,Sustainability Enforcement,6414
417,Sweeping/Inadequate,1931
418,Sweeping/Missed,6094
419,Sweeping/Missed-Inadequate,5853
420,Tanning,51
421,Tattooing,1328
422,Taxi Complaint,180835
423,Taxi Compliment,5890
424,Taxi Licensee Complaint,29
425,Taxi Report,13606
426,Taxpayer Advocate Inquiry,351
427,Teaching/Learning/Instruction,420
428,Traffic,53667
429,Traffic Signal Condition,523188
430,Traffic/Illegal Parking,14047
431,Trans Fat,32
432,Transfer Station Complaint,13
433,Transportation Provider Complaint,183
434,Trapping Pigeon,2
435,Tunnel Condition,120
436,UNSANITARY CONDITION,617751
437,Unleashed Dog,10215
438,Unlicensed Dog,76
439,Unsanitary Animal Facility,1018
440,Unsanitary Animal Pvt Property,26626
441,Unsanitary Condition,5500
442,Unsanitary Pigeon Condition,8465
443,Uprooted Stump,1003
444,Urinating in Public,7382
445,Utility Program,1301
446,VACANT APARTMENT,8
447,Vacant Lot,20503
448,Vaccine Mandate Non-Compliance,7396
449,Vending,46600
450,Violation of Park Rules,33190
451,WATER LEAK,260067
452,Water Conservation,47035
453,Water Leak,1
454,Water Maintenance,26
455,Water Quality,18252
456,Water System,767512
457,Weatherization,1157
458,Window Guard,2788
459,Wood Pile Remaining,846
460,X-Ray Machine/Equipment,212
